2014-09-07 06:33:22.605+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore.relationshipstore.db hit=0 miss=0 switches=0 ooe=0
2014-09-07 06:33:22.689+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore.nodestore.db.labels hit=0 miss=0 switches=0 ooe=0
2014-09-07 06:33:22.809+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore.nodestore.db hit=0 miss=0 switches=0 ooe=0
2014-09-07 06:33:22.905+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore.schemastore.db hit=0 miss=0 switches=0 ooe=0
2014-09-07 06:33:23.029+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore.relationshipgroupstore.db hit=0 miss=0 switches=0 ooe=0
2014-09-07 06:33:23.121+0000 INFO  [o.n.k.i.n.s.StoreFactory]: neo4j-db/neostore hit=0 miss=8 switches=0 ooe=0
2014-09-07 06:33:23.309+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.relationshiptypestore.db.names] brickCount=0 brickSize=0b mappedMem=0b (storeSize=38b)
2014-09-07 06:33:23.310+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.relationshiptypestore.db] brickCount=0 brickSize=0b mappedMem=0b (storeSize=0b)
2014-09-07 06:33:23.310+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.labeltokenstore.db.names] brickCount=0 brickSize=0b mappedMem=0b (storeSize=38b)
2014-09-07 06:33:23.310+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.labeltokenstore.db] brickCount=0 brickSize=0b mappedMem=0b (storeSize=0b)
2014-09-07 06:33:23.311+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.propertystore.db.strings] brickCount=0 brickSize=569344b mappedMem=569376768b (storeSize=128b)
2014-09-07 06:33:23.311+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.propertystore.db.index.keys] brickCount=0 brickSize=0b mappedMem=0b (storeSize=38b)
2014-09-07 06:33:23.311+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.propertystore.db.index] brickCount=0 brickSize=0b mappedMem=0b (storeSize=0b)
2014-09-07 06:33:23.311+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.propertystore.db.arrays] brickCount=0 brickSize=644864b mappedMem=644874240b (storeSize=128b)
2014-09-07 06:33:23.312+0000 INFO  [o.n.k.i.n.s.StoreFactory]: [neo4j-db/neostore.propertystore.db] brickCount=0 brickSize=6700384b mappedMem=670040064b (storeSize=0b)
